,date,open,high,low,close,flag
0,2024-04-15 14:56:00+05:30,440.8,440.8,440.8,440.8,0
1,2024-04-15 14:59:00+05:30,433.55,433.55,433.55,433.55,1
2,2024-04-15 15:12:00+05:30,426.2,426.2,426.2,426.2,1
3,2024-04-16 09:15:00+05:30,350.45,350.45,350.45,350.45,0
4,2024-04-16 10:53:00+05:30,344.75,344.75,344.75,344.75,1
5,2024-04-16 12:50:00+05:30,317.8,317.8,317.8,317.8,1
6,2024-04-16 13:21:00+05:30,286.45,286.45,286.45,286.45,1
7,2024-04-16 14:11:00+05:30,322.8,322.8,322.8,322.8,0
8,2024-04-16 14:12:00+05:30,322.8,322.8,322.8,322.8,0
9,2024-04-16 15:28:00+05:30,322.8,322.8,322.8,322.8,1
10,2024-04-18 09:43:00+05:30,322.8,322.8,322.8,322.8,0
11,2024-04-18 10:07:00+05:30,322.8,322.8,322.8,322.8,1
12,2024-04-18 10:31:00+05:30,315.75,315.75,315.75,315.75,1
13,2024-04-18 10:34:00+05:30,319.75,320.3,319.75,319.75,8
14,2024-04-18 10:36:00+05:30,322.9,322.9,322.2,322.9,8
15,2024-04-18 10:37:00+05:30,328.2,328.2,328.2,328.2,4
16,2024-04-18 11:43:00+05:30,357.0,357.0,357.0,357.0,1
17,2024-04-18 12:18:00+05:30,379.0,379.0,379.0,379.0,1
18,2024-04-18 12:22:00+05:30,386.9,386.9,386.9,386.9,1
19,2024-04-18 12:24:00+05:30,386.9,386.9,386.9,386.9,1
20,2024-04-18 12:25:00+05:30,386.25,386.25,386.25,386.25,1
21,2024-04-18 12:40:00+05:30,385.4,385.4,385.4,385.4,1
22,2024-04-18 13:20:00+05:30,381.2,381.2,381.2,381.2,2
23,2024-04-18 13:21:00+05:30,380.85,380.85,380.85,380.85,9
24,2024-04-18 13:26:00+05:30,370.0,370.0,370.0,370.0,1
25,2024-04-18 13:27:00+05:30,277.85,277.85,277.85,277.85,3
26,2024-04-18 13:28:00+05:30,306.95,307.7,306.95,306.95,4
27,2024-04-18 13:30:00+05:30,296.5,300.1,296.5,296.5,9
28,2024-04-18 14:04:00+05:30,316.5,316.5,315.9,315.9,0
29,2024-04-18 14:05:00+05:30,315.9,315.9,311.85,311.85,2
30,2024-04-18 14:15:00+05:30,319.1,319.1,319.1,319.1,4
31,2024-04-18 14:19:00+05:30,324.8,324.8,324.8,324.8,1
32,2024-04-18 14:30:00+05:30,323.45,323.45,317.75,323.45,8
33,2024-04-18 14:38:00+05:30,305.6,306.95,305.6,306.95,2
34,2024-04-18 14:39:00+05:30,301.6,301.6,301.6,301.6,1
35,2024-04-18 14:46:00+05:30,280.05,280.05,280.05,280.05,1
36,2024-04-18 14:56:00+05:30,280.0,280.0,280.0,280.0,0
37,2024-04-18 14:57:00+05:30,280.0,282.1,280.0,282.1,3
38,2024-04-18 14:58:00+05:30,269.0,269.0,269.0,269.0,1
39,2024-04-18 15:06:00+05:30,265.85,265.85,265.85,265.85,1
40,2024-04-18 15:14:00+05:30,245.85,245.85,245.85,245.85,0
41,2024-04-18 15:15:00+05:30,245.85,245.85,245.85,245.85,0
42,2024-04-18 15:16:00+05:30,243.9,243.9,243.9,243.9,0
43,2024-04-18 15:17:00+05:30,243.9,243.9,243.9,243.9,0
44,2024-04-18 15:24:00+05:30,274.05,274.05,274.05,274.05,2
45,2024-04-18 15:27:00+05:30,255.8,255.8,255.8,255.8,1
46,2024-04-19 09:15:00+05:30,199.0,199.0,199.0,199.0,0
47,2024-04-19 09:16:00+05:30,199.0,199.0,199.0,199.0,1
48,2024-04-19 09:21:00+05:30,185.0,185.0,185.0,185.0,1
49,2024-04-19 09:22:00+05:30,185.0,185.0,185.0,185.0,1
50,2024-04-19 09:24:00+05:30,200.0,201.0,200.0,201.0,1
51,2024-04-19 09:25:00+05:30,201.0,201.0,201.0,201.0,1
52,2024-04-19 09:29:00+05:30,205.5,205.5,205.5,205.5,1
53,2024-04-19 09:53:00+05:30,184.95,184.95,184.95,184.95,1
54,2024-04-19 10:44:00+05:30,184.95,184.95,184.95,184.95,2
55,2024-04-19 10:45:00+05:30,194.25,194.25,194.25,194.25,1
56,2024-04-19 10:56:00+05:30,174.8,174.8,174.8,174.8,1
57,2024-04-19 11:17:00+05:30,177.35,177.35,177.35,177.35,1
58,2024-04-19 11:50:00+05:30,207.05,207.05,207.05,207.05,2
59,2024-04-19 11:51:00+05:30,200.0,200.0,200.0,200.0,2
60,2024-04-19 11:59:00+05:30,201.0,201.0,201.0,201.0,1
61,2024-04-19 12:03:00+05:30,200.6,200.6,200.6,200.6,2
62,2024-04-19 12:07:00+05:30,201.0,201.0,201.0,201.0,1
63,2024-04-19 12:08:00+05:30,202.0,202.0,201.0,202.0,4
64,2024-04-19 12:10:00+05:30,202.0,202.0,202.0,202.0,4
65,2024-04-19 12:12:00+05:30,209.2,209.2,209.2,209.2,1
66,2024-04-19 12:22:00+05:30,210.7,210.7,210.7,210.7,1
67,2024-04-19 12:24:00+05:30,219.75,219.75,219.75,219.75,1
68,2024-04-19 12:30:00+05:30,219.75,219.75,216.55,217.0,5
69,2024-04-19 12:35:00+05:30,229.65,229.65,229.65,229.65,1
70,2024-04-19 12:44:00+05:30,247.0,247.0,247.0,247.0,1
71,2024-04-19 13:03:00+05:30,247.0,247.0,247.0,247.0,1
72,2024-04-19 13:20:00+05:30,234.0,234.0,234.0,234.0,1
73,2024-04-19 13:23:00+05:30,251.55,251.55,251.55,251.55,2
74,2024-04-19 13:28:00+05:30,252.0,252.0,252.0,252.0,1
75,2024-04-19 13:30:00+05:30,247.5,247.5,247.5,247.5,1
76,2024-04-19 13:34:00+05:30,243.65,243.65,243.65,243.65,4
77,2024-04-19 13:36:00+05:30,240.4,242.05,240.4,240.4,2
